Name	2024	2023	2022	2021
Indian Institute of Technology Madras	1	1	1	1
Indian Institute of Technology Delhi	2	2	2	2
Indian Institute of Technology Bombay	3	3	3	3
Indian Institute of Technology Kanpur	4	4	4	4
Indian Institute of Technology Kharagpur	5	6	5	5
Indian Institute of Technology Roorkee	6	5	6	6
Indian Institute of Technology Guwahati	7	7	7	7
Indian Institute of Technology Hyderabad	8	8	9	8
National Institute of Technology Tiruchirappalli	9	9	8	9
Indian Institute of Technology (Banaras Hindu University) Varanasi	10	15	13	14
Vellore Institute of Technology	11	11	12	12
Jadavpur University	12	10	11	17
S.R.M. Institute of Science and Technology	13	28	24	34
Anna University	14	13	17	18
Indian Institute of Technology (Indian School of Mines) Dhanbad	15	17	14	11
Indian Institute of Technology Indore	16	14	16	13
National Institute of Technology Karnataka,Surathkal	17	12	10	10
Indian Institute of Technology Gandhinagar	18	18	23	22
National Institute of Technology Rourkela	19	16	15	20
Birla Institute of Technology and Science,Pilani	20	25	29	26
National Institute of Technology Warangal	21	21	21	23
Indian Institute of Technology Ropar	22	22	22	19
Amrita Vishwa Vidyapeetham	23	19	19	16
Jamia Millia Islamia	24	26	26	33
National Institute of Technology Calicut	25	23	31	25
Siksha `O` Anusandhan	26	27	27	32
Delhi Technological University	27	29	35	36
Indian Institute of Technology Jodhpur	28	30	30	43
Thapar Institute of Engineering and Technology (Deemed-to-be-university)	29	20	28	23
Amity University	30	31	25	31
Indian Institute of Technology Mandi	31	33	20	41
Chandigarh University	32	38	45	61
Aligarh Muslim University	33	32	37	35
Indian Institute of Technology Patna	34	41	33	21
Koneru Lakshmaiah Education Foundation University (K L College of Engineering)	35	44	44	50
Kalasalingam Academy of Research and Education	36	36	39	56
Kalinga Institute of Industrial Technology	37	39	42	39
Shanmugha Arts Science Technology and Research Academy	38	34	41	38
Visvesvaraya National Institute of Technology Nagpur	39	41	32	30
National Institute of Technology Silchar	40	40	38	48
Institute of Chemical Technology	41	24	18	15
UPES	42	54	61	91
Malaviya National Institute of Technology	43	37	46	37
National Institute of Technology Durgapur	44	43	34	29
National Institute of Technology Delhi	45	51		
Sri Sivasubramaniya Nadar College of Engineering	46	45	48	45
International Institute of Information Technology Hyderabad	47	55	62	54
Birla Institute of Technology	48	53	53	46
Indian Institute of Engineering Science and Technology,Shibpur	49	35	40	27
Lovely Professional University	50	50	51	66
Indian Institute of Space Science and Technology	51	48	43	40
Graphic Era University	52	62	64	75
Saveetha Institute of Medical and Technical Sciences	53	64		
Indian Institute of Technology Bhubaneswar	54	47	36	28
National Institute of Technology Patna	55	56	63	72
Manipal Institute of Technology	56	61	55	51
Netaji Subhas University of Technology (NSUT)	57	60	79	88
Dr. B R Ambedkar National Institute of Technology Jalandhar	58	46	52	49
Sardar Vallabhbhai National Institute of Technology	59	65	58	47
Motilal Nehru National Institute of Technology	60	49	47	42
Indian Institute of Technology Tirupati	61	59	56	
Indian Institute of Technology Jammu	62	67		
Defence Institute of Advanced Technology	63	57	71	58
Indian Institute of Technology Palakkad	64	69	68	
Manipal University,Jaipur	64	76	75	84
Sathyabama Institute of Science and Technology	66	66	54	55
PSG College of Technology	67	63	57	53
National Institute of Technology Meghalaya	68	72	60	59
Visvesvaraya Technological University	69	52	49	57
University of Hyderabad	70	71		
National Institute of Technology Raipur	71	70	65	64
Maulana Azad National Institute of Technology	72	80	70	60
Indian Institute of Technology Bhilai	73	81		
International Institute of Information Technology Bangalore	74	74	81	76
M. S. Ramaiah Institute of Technology	75	78	67	65
Sant Longowal Institute of Engineering and Technology	76			
COEP Technological University	77	73	72	52
Banasthali Vidyapith	78	68	59	67
National Institute of Technology Srinagar	79	82	66	69
Rajiv Gandhi Institute of Petroleum Technology	80	79		
National Institute of Technology Kurukshetra	81	58	50	44
National Institute of Technology Agartala	82	91	80	92
Sri Krishna College of Engineering and Technology	83	77	73	78
Madan Mohan Malaviya University of Technology	84			
Indraprastha Institute of Information Technology	85	75	69	63
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology	86	87	84	93
Indian Institute of Information Technology Allahabad	87	89	93	87
Jawaharlal Nehru Technological University	88	83	76	62
Guru Gobind Singh Indraprastha University	89	84	74	
AU College of Engineering (A)	90	94	77	74
Vignan's Foundation for Science,Technology and Research	91	85	99	
Shoolini University of Biotechnology and Management Sciences	92			
Christ University	93			
Chitkara University	94	92		
Jain University,Bangalore	95			
C.V. Raman Global University,Odisha	96	100	98	100
National Institute of Technology Puducherry	97			
SR University	98	98	91	
R.V. College of Engineering	99	96	89	77
Siddaganga Institute of Technology	100		97